item_id	marker_id	item_name	gene	rs_id	normal_allele	risk_allele
I-CNV0204	MARKER-0230	19q13.11 deletion	19q13.11 deletion	rsCNV0204	N	O
I-CNV0205	MARKER-0231	19q duplication	19q duplication	rsCNV0205	N	O
I-CNV0206	MARKER-0232	20p duplication	20p duplication	rsCNV0206	N	O
I-CNV0207	MARKER-0233	20p deletion	20p deletion	rsCNV0207	N	O
I-CNV0208	MARKER-0234	20p12 deletion	20p12 deletion	rsCNV0208	N	O
I-CNV0209	MARKER-0235	20p12.3 deletion	20p12.3 deletion	rsCNV0209	N	O
I-CNV0210	MARKER-0236	20q13.2 deletion	20q13.2 deletion	rsCNV0210	N	O
I-CNV0211	MARKER-0237	20q13.33 deletion	20q13.33 deletion	rsCNV0211	N	O
I-CNV0212	MARKER-0238	20q11.2 duplication	20q11.2 duplication	rsCNV0212	N	O
I-CNV0213	MARKER-0239	20q11.2 deletion	20q11.2 deletion	rsCNV0213	N	O
I-CNV0214	MARKER-0240	20q duplication	20q duplication	rsCNV0214	N	O
I-CNV0215	MARKER-0241	21q deletion	21q deletion	rsCNV0215	N	O
I-CNV0216	MARKER-0242	21q22.11-q22.12 deletion	21q22.11-q22.12 deletion	rsCNV0216	N	O
I-CNV0217	MARKER-0243	21q22.13 deletion	21q22.13 deletion	rsCNV0217	N	O
I-CNV0218	MARKER-0244	22p duplication	22p duplication	rsCNV0218	N	O
I-CNV0219	MARKER-0245	22p deletion	22p deletion	rsCNV0219	N	O
I-CNV0220	MARKER-0246	22q11 duplication	22q11 duplication	rsCNV0220	N	O
I-CNV0221	MARKER-0247	22q11.2 duplication	22q11.2 duplication	rsCNV0221	N	O
I-CNV0222	MARKER-0248	22q duplication	22q duplication	rsCNV0222	N	O
I-CNV0223	MARKER-0249	22q deletion	22q deletion	rsCNV0223	N	O
I-CNV0224	MARKER-0250	Xp22.13-p22.2 duplication	Xp22.13-p22.2 duplication	rsCNV0224	N	O
I-CNV0225	MARKER-0251	Xp21 deletion	Xp21 deletion	rsCNV0225	N	O
I-CNV0226	MARKER-0252	Xp11.22-p11.23 duplication	Xp11.22-p11.23 duplication	rsCNV0226	N	O
I-CNV0227	MARKER-0253	Xq21 deletion	Xq21 deletion	rsCNV0227	N	O
I-CNV0228	MARKER-0254	Xq22.3 deletion	Xq22.3 deletion	rsCNV0228	N	O
I-CNV0229	MARKER-0255	Xq25 duplication	Xq25 duplication	rsCNV0229	N	O
I-CNV0230	MARKER-0256	Xq27.3-q28 duplication	Xq27.3-q28 duplication	rsCNV0230	N	O
I-CNV0231	MARKER-0257	Xq28 duplication	Xq28 duplication	rsCNV0231	N	O
I-CNV0232	MARKER-0258	Yq11 deletion	Yq11 deletion	rsCNV0232	N	O
